Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Fruit Street,https://www.crunchbase.com/organization/fruit-street-health,"Fitness, Health Care, mHealth, Personal Health, Wellness","New York, New York, United States",Fruit Street is a developer of a digital diabetes prevention and weight loss program.,"1,965",6,,,,15450000,USD,15450000
Flo Health,https://www.crunchbase.com/organization/owhealth,"Artificial Intelligence, Health Care, mHealth, Wellness, Women's","London, England, United Kingdom",Flo is an AI-powered women’s health app that supports women at every stage of their reproductive cycle.,"2,072",5,50000000,USD,50000000,75500000,USD,75500000
Ada Health,https://www.crunchbase.com/organization/adahealth,"Apps, Artificial Intelligence, Health Care, Medical, mHealth","Berlin, Berlin, Germany",Ada Health is a digital health company that helps to diagnose symptoms and offer treatment advice using an AI-enabled platform.,"2,118",5,30000000,USD,30000000,189497394,USD,189497394
Clue,https://www.crunchbase.com/organization/clue,"Apps, Fertility, Fitness, Health Care, mHealth, Wellness, Women's","Berlin, Berlin, Germany",Clue is a female health application that tracks period and fertility cycle.,"2,306",8,16000000,EUR,18134071,47818023,USD,47818023
Biofourmis,https://www.crunchbase.com/organization/biofourmis-pte-ltd,"Biotechnology, mHealth, Personal Health, Predictive Analytics, Therapeutics","Boston, Massachusetts, United States",Biofourmis is a biotechnology company that augments personalized care and therapies using digital therapeutics.,"2,329",9,300000000,USD,300000000,443571051,USD,443571051
Kry,https://www.crunchbase.com/organization/kry,"Consumer, Health Care, Medical, mHealth, Mobile Apps","Stockholm, Stockholms Lan, Sweden",Kry helps patients to make active choices about their health in partnership with public and private healthcare professionals.,"2,683",6,262000000,EUR,316757946,568568065,USD,568568065
Glooko,https://www.crunchbase.com/organization/glooko,"Diabetes, Health Care, mHealth, Mobile Apps, SaaS, Software","Mountain View, California, United States",Glooko offers a Software-as-a-Service (SaaS) application for Diabetes Management.,"2,818",7,30000000,USD,30000000,101000000,USD,101000000
Woebot Health,https://www.crunchbase.com/organization/woebot-labs,"Artificial Intelligence, Health Care, mHealth, Therapeutics","San Francisco, California, United States",Woebot Health offers digital therapeutics to make mental health radically accessible.,"2,885",4,9500000,USD,9500000,123300000,USD,123300000
Compass Group,https://www.crunchbase.com/organization/compass-group-plc,"Apps, Food and Beverage, Hospitality, mHealth","Chertsey, Surrey, United Kingdom",Compass Group is a food and support services company that provides a wide range of innovative dining solutions.,"3,103",2,2500000000,USD,2500000000,2501200000,USD,2501200000
Emocha Health,https://www.crunchbase.com/organization/emocha,"Health Care, Medical, mHealth","Baltimore, Maryland, United States",emocha Health is a digital health company that enables every patient to take every dose with video technology and scalable human engagement.,"3,198",8,6200000,USD,6200000,14950000,USD,14950000
Unmind,https://www.crunchbase.com/organization/unmind,"B2B, Employee Benefits, Enterprise Software, Health Care, mHealth, Training","London, England, United Kingdom",Unmind is a B2B mental health platform providing clinically-backed tools and training.,"3,235",5,47000000,USD,47000000,63185969,USD,63185969
Welltok,https://www.crunchbase.com/organization/welltok,"Health Care, mHealth, SaaS, Wellness","Denver, Colorado, United States","Welltok is a data-driven, enterprise SaaS company that delivers a healthcare consumer activation platform.","3,285",12,10440000,USD,10440000,262230798,USD,262230798
Us2.ai,https://www.crunchbase.com/organization/us2-ai,"Artificial Intelligence, Health Care, Medical, Medical Device, mHealth, Software","Singapore, Central Region, Singapore",Us2.ai develops software and digital tools for echocardiography using artificial intelligence.,"3,302",1,15000000,USD,15000000,15000000,USD,15000000
Favor,https://www.crunchbase.com/organization/the-pill-club,"Delivery, Health Care, Medical, mHealth","San Mateo, California, United States","Favor is a wellbeing coalition committed to to accessible, affordable birth control, skin care, menstrual care, & other services.","3,453",5,41900000,USD,41900000,103554570,USD,103554570
Sesame,https://www.crunchbase.com/organization/sesame-993d,"E-Commerce, Electronic Health Record (EHR), Health Care, Health Diagnostics, Health Insurance, Medical, mHealth","New York, New York, United States","Sesame is a healthcare superstore, with over 10,000 medical practices offering affordable prices for care in-person or online.","3,547",2,24000000,USD,24000000,47600000,USD,47600000
Health Gorilla,https://www.crunchbase.com/organization/healthgorilla,"Electronic Health Record (EHR), Health Care, Information Technology, mHealth","Palo Alto, California, United States","Health Gorilla provides permitted access to longitudinal health data for digital health, providers, payers, customers, and patients.","3,612",8,50000000,USD,50000000,78705915,USD,78705915
Fuzzy,https://www.crunchbase.com/organization/fuzzy,"mHealth, Pet, Subscription Service, Veterinary","San Francisco, California, United States",Fuzzy is a subscription-based pet healthcare startup making pet care accessible and affordable.,"3,635",5,44000000,USD,44000000,80500000,USD,80500000
98point6,https://www.crunchbase.com/organization/98point6,"Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps","Seattle, Washington, United States","98point6 is a digital primary care service that provides personalized consultation, diagnosis, and treatment to patients.","3,703",6,118000000,USD,118000000,247300000,USD,247300000
Luma Health,https://www.crunchbase.com/organization/luma-health,"Apps, Electronic Health Record (EHR), Health Care, mHealth, Scheduling, Unified Communications","San Francisco, California, United States",Luma Health solves the central challenge in healthcare -- getting a patient in front of the right healthcare provider quickly.,"3,760",5,130000000,USD,130000000,159100000,USD,159100000
Ribbon Health,https://www.crunchbase.com/organization/ribbonhealth,"Developer APIs, Health Care, mHealth, Predictive Analytics","New York, New York, United States",Ribbon Health is a predictive analytics and data platform for the healthcare industry.,"3,763",5,43500000,USD,43500000,53750000,USD,53750000
TigerConnect,https://www.crunchbase.com/organization/tigertext,"Collaboration, Compliance, Enterprise, Enterprise Software, Health Care, Information Technology, mHealth, Productivity Tools, SaaS, Software","Santa Monica, California, United States",TigerConnect is a healthcare collaboration platform that streamlines clinical workflows and systems.,"3,777",7,300000000,USD,300000000,400400000,USD,400400000
eVisit,https://www.crunchbase.com/organization/evisit-2,"Health Care, Information Technology, mHealth, SaaS","Mesa, Arizona, United States",Evisit is a telemedicine patient engagement platform for SMB healthcare practices.,"3,814",7,45000000,USD,45000000,110783376,USD,110783376
FitOn,https://www.crunchbase.com/organization/fiton,"Fitness, mHealth, Mobile Apps, Personal Health, Wellness","Los Angeles, California, United States",FitOn is a free fitness app with more than 10M+ members who have completed over 1+ Billion workout minutes on the platform.,"3,967",5,40000000,USD,40000000,70049000,USD,70049000
Palta,https://www.crunchbase.com/organization/haxus,"Health Care, mHealth, Personal Health, Wellness","London, England, United Kingdom",Palta is a health and wellbeing technology company,"4,156",3,100000000,USD,100000000,139000000,USD,139000000
Nomi Health,https://www.crunchbase.com/organization/nomi-health,"Finance, Health Care, Insurance, mHealth","Orem, Utah, United States",Nomi Health is a direct health company that aims to reduce the cost of health care for employers and patients.,"4,172",1,110000000,USD,110000000,110000000,USD,110000000
Wysa,https://www.crunchbase.com/organization/touchkin-eservices,"Artificial Intelligence, Fitness, Health Care, Medical Device, mHealth","Bangalore, Karnataka, India",Wysa provides a mental health wellness platform to manage stress from health anxiety behavior of employees and patients.,"4,177",4,5500000,USD,5500000,9357626,USD,9357626
iRhythm Technologies,https://www.crunchbase.com/organization/irhythm,"Health Care, Health Diagnostics, Medical Device, mHealth, Wearables","San Francisco, California, United States",iRhythm Technologies provides diagnostic monitoring solutions that facilitate the early diagnosis and treatment of cardiac arrhythmia.,"4,256",13,220000000,USD,220000000,468171781,USD,468171781
Well,https://www.crunchbase.com/organization/well-dot,"Artificial Intelligence, Health Care, mHealth, Wellness","Chapel Hill, North Carolina, United States",Well is a health technology company that provides access to trusted health partners.,"4,364",5,71899237,USD,71899237,257824967,USD,257824967
Medisafe,https://www.crunchbase.com/organization/medisafe-project,"Health Care, Medical, mHealth, Mobile Apps","Boston, Massachusetts, United States",Medisafe is a personalized tech platform that helps people manage their medications while providing insight into their daily habits.,"4,375",5,30000000,USD,30000000,51500000,USD,51500000
Pager,https://www.crunchbase.com/organization/pager,"Health Care, mHealth, Mobile Apps","New York, New York, United States","Virtual care technology platform that provides communication, collaboration, navigation, and care coordination solutions.","4,508",9,70000000,USD,70000000,132614082,USD,132614082
Babyscripts,https://www.crunchbase.com/organization/1eq,"Health Care, mHealth, Mobile Apps, Software","Washington, District of Columbia, United States","Babyscripts is a clinically validated, digital healthcare company that delivers risk-specific care to pregnant mothers at any time.","4,520",10,7500000,USD,7500000,39760448,USD,39760448
Prevounce Health,https://www.crunchbase.com/organization/prevounce-health,"Compliance, Health Care, Health Diagnostics, Home Health Care, Medical, Medical Device, mHealth, Productivity Tools, SaaS, Wellness","Indianapolis, Indiana, United States","Prevounce Health offers tools that improve the provision of chronic care management, preventive care, and remote patient monitoring.","5,189",1,4500000,USD,4500000,4500000,USD,4500000
Antidote Health,https://www.crunchbase.com/organization/med-beyond,"Artificial Intelligence, Health Care, mHealth, Wellness","New York, New York, United States",Antidote Health offers an AI-based health platform that helps people receive proper medical treatment.,"5,693",3,22000000,USD,22000000,35000000,USD,35000000
Altoida,https://www.crunchbase.com/organization/altoida,"Augmented Reality, Health Care, Health Diagnostics, Medical, Medical Device, mHealth, Software","Washington, District of Columbia, United States",Altoida is creating a new gold standard in brain health with Precision Neurology.,"5,801",9,14000000,USD,14000000,24749815,USD,24749815
Cerebral,https://www.crunchbase.com/organization/cerebral,"Health Care, Medical, mHealth, Wellness","San Francisco, California, United States","Cerebral is a mental health telemedicine company that offers online care and medication management for anxiety, depression, ADHD and more.","5,939",3,300000000,USD,300000000,462000000,USD,462000000
HealthHero,https://www.crunchbase.com/organization/healthhero,"Health Care, Health Diagnostics, Information Technology, mHealth","London, England, United Kingdom","HealthHero offers remote access to experienced doctors and expert clinicians directly to patients, insurance-policy holders and employees.","6,209",3,70000000,EUR,82920605,128000000,EUR,151037060
Fable,https://www.crunchbase.com/organization/fable,"Health Care, mHealth, Personal Health, Wellness","Palo Alto, California, United States",Fable provides a platform for online book clubs.,"6,379",3,20000000,USD,20000000,36047571,USD,36047571
Infermedica,https://www.crunchbase.com/organization/infermedica,"Artificial Intelligence, Health Care, Health Insurance, Hospital, Machine Learning, mHealth, Personal Health, Predictive Analytics","Wroclaw, Dolnoslaskie, Poland",Infermedica is a leading digital health company specialized in AI-powered solutions for preliminary diagnosis and patient triage.,"6,451",10,30000000,USD,30000000,44950000,USD,44950000
CareMessage,https://www.crunchbase.com/organization/caremessage,"Health Care, Hospital, Messaging, mHealth","San Francisco, California, United States","Social enterprise using mobile technology to make underserved populations healthier. Backed by Google, Y Combinator and others.","6,564",5,250000,USD,250000,19370000,USD,19370000
Olivex,https://www.crunchbase.com/organization/olivex,"Artificial Intelligence, Fitness, Health Care, mHealth","Hong Kong, Hong Kong Island, Hong Kong",Olivex is a health care app that provides artificial intelligence and gamification to improve users’ health and fitness.,"6,749",3,8000000,AUD,5780764,8480765,USD,8480765
Holmusk,https://www.crunchbase.com/organization/holmusk,"Analytics, Big Data, Electronic Health Record (EHR), Health Care, mHealth, Wellness","Singapore, Central Region, Singapore",Holmusk is a data science and health technology company that aims to reverse chronic disease and behavioral health issues.,"6,831",3,,,,31250000,USD,31250000
FORTË,https://www.crunchbase.com/organization/fortË,"Fitness, Health Care, mHealth, Video Streaming, Wearables","New York, New York, United States","FORTË has developed the fitness industry's only premium live and on-demand, end-to-end digital solution branded and integrated for gyms.","6,974",5,885471,USD,885471,10885471,USD,10885471
AMBOSS,https://www.crunchbase.com/organization/amboss-miamed-gmbh,"E-Learning, Education, Health Care, Hospital, Medical, mHealth, Universities","Berlin, Berlin, Germany",Improving healthcare by making medical knowledge universally accessible.,"7,062",4,30000000,EUR,33775187,39076352,USD,39076352
dacadoo,https://www.crunchbase.com/organization/dacadoo,"Health Care, Insurance, InsurTech, mHealth, Mobile, Quantified Self, Software","Zürich, Zurich, Switzerland",dacadoo is a Switzerland-based company that provides digital mobile lifestyle solutions through mobile apps.,"7,178",4,70000000,CHF,71128814,71128814,USD,71128814
Mira,https://www.crunchbase.com/organization/miracare,"Artificial Intelligence, Fertility, Hardware, Health Care, Internet of Things, Medical Device, mHealth","Pleasanton, California, United States",The first FDA and CE registered comprehensive women’s health and chronic disease monitoring platform with 99% of accuracy,"7,351",3,2200000,USD,2200000,4300000,USD,4300000
Bigfoot Biomedical,https://www.crunchbase.com/organization/bigfoot-biomedical--inc-,"Artificial Intelligence, Big Data, Diabetes, Health Care, Medical Device, mHealth, Predictive Analytics","Milpitas, California, United States",Bigfoot Biomedical is a medical device company changing diabetes care for people with insulin-requiring diabetes.,"7,411",6,57000000,USD,57000000,204628488,USD,204628488
DXY,https://www.crunchbase.com/organization/dxy,"Consumer Software, Health Care, Life Science, Medical, mHealth, Pharmaceutical, Social Media, Software","Hangzhou, Zhejiang, China","DXY is an online healthcare community for doctors, consumers, and healthcare organizations.","7,456",5,500000000,USD,500000000,682000000,USD,682000000
StartUp Health,https://www.crunchbase.com/organization/startup-health,"Biotechnology, Electronic Health Record (EHR), Employee Benefits, Health Diagnostics, Home Health Care, Medical Device, mHealth, Nursing and Residential Care, Personal Health","New York, New York, United States",StartUp Health is investing in a global army of Health Transformers to achieve health moonshots.,"7,484",2,19300000,USD,19300000,24300000,USD,24300000
Babylon,https://www.crunchbase.com/organization/babylon-health,"Health Care, Health Diagnostics, mHealth","London, England, United Kingdom","Babylon is a world leading, digital-first, value-based care company.","7,507",7,230000000,USD,230000000,1131090847,USD,1131090847
PlushCare,https://www.crunchbase.com/organization/plushcare,"Health Care, Medical, mHealth, Mobile Apps","San Francisco, California, United States",PlushCare is a tech-enabled concierge primary care practice built for the healthcare industry.,"7,574",5,23000000,USD,23000000,31000000,USD,31000000
Healthily by Your.MD,https://www.crunchbase.com/organization/your-md,"Artificial Intelligence, Assistive Technology, Health Care, Health Diagnostics, Information Technology, mHealth, Personal Health","London, England, United Kingdom",Healthily is the world’s first medically approved self-care app designed around you.,"7,738",6,30000000,USD,30000000,47300000,USD,47300000
DrChrono,https://www.crunchbase.com/organization/drchrono,"Electronic Health Record (EHR), Health Care, Medical, mHealth","Sunnyvale, California, United States","The essential platform for modern medical practices to make care more informed, more interactive, and more personalized.","7,876",12,12000000,USD,12000000,60725000,USD,60725000
RubiconMD,https://www.crunchbase.com/organization/rubiconmd,"Consulting, Health Care, Information Services, Information Technology, Medical, mHealth","New York, New York, United States",RubiconMD empowers and innovates for primary care by democratizing medical expertise.,"8,268",8,18000000,USD,18000000,37870000,USD,37870000
Health Recovery Solutions,https://www.crunchbase.com/organization/health-recovery-solutions,"Enterprise Software, Health Care, Information Technology, mHealth, Software","Hoboken, New Jersey, United States",Health Recovery Solutions develops a cloud-based warning system to help users reduce readmissions for hospitals and ACOs.,"8,384",8,70000000,USD,70000000,87070000,USD,87070000
Ro,https://www.crunchbase.com/organization/roman-2,"Health Care, Health Diagnostics, Hospital, mHealth, Wellness","New York, New York, United States","Ro is a telehealth startup that operates digital health clinics for men’s and women’s health, along with smoking cessation.","8,419",9,150000000,USD,150000000,1026100000,USD,1026100000
heartbeat medical,https://www.crunchbase.com/organization/heartbeat-medical,"Clinical Trials, Electronic Health Record (EHR), Health Care, Medical, mHealth, Therapeutics","Berlin, Berlin, Germany",Heartbeat collects the most important data point in healthcare: quality of life (PROMs) and turns it into Real World Evidence (RWE),"8,542",4,,,,10315062,USD,10315062
mPulse Mobile,https://www.crunchbase.com/organization/mpulse-mobile-inc-,"Analytics, Health Care, mHealth, Mobile","Encino, California, United States","mPulse Mobile, the leader in mobile health engagement, drives improved health outcomes and efficiencies by activating healthcare consumers","9,316",6,,,,41950000,USD,41950000
BioIQ,https://www.crunchbase.com/organization/bioiq,"Health Care, mHealth","Santa Barbara, California, United States",BioIQ is a health improvement technology company that optimizes investments in corporate health and wellness programs.,"9,430",6,14000000,USD,14000000,42628942,USD,42628942
Pando,https://www.crunchbase.com/organization/connected-healthcare,"Health Care, mHealth, Pharmaceutical","London, England, United Kingdom",Forward is now Pando! Pando is an essential tool for teamwork and secure collaboration in health and social care.,"9,436",5,5000000,USD,5000000,10400000,USD,10400000
The Mighty,https://www.crunchbase.com/organization/the-mighty,"Communities, Health Care, mHealth, Psychology, Social Network, Wellness","Los Angeles, California, United States",The Mighty is a digital health community created to empower and connect people facing health challenges and disabilities.,"9,453",6,12000000,USD,12000000,22700000,USD,22700000
HelloBetter,https://www.crunchbase.com/organization/hellobetter,"Health Care, Medical Device, mHealth, Personal Health, Psychology, Therapeutics","Berlin, Berlin, Germany","Leading provider of digital therapeutics for mental health: 10 DTx, 5 PDTx with universal reimbursement for 73m+ people, 33 clinical studies","9,621",3,4000000,EUR,4405344,13000000,EUR,14673121
Carbon Health,https://www.crunchbase.com/organization/carbon-health,"Electronic Health Record (EHR), Health Care, Medical, mHealth, Mobile Apps","San Francisco, California, United States",Carbon Health is a tech-enabled healthcare company that delivers a virtual care experience.,"9,739",10,,,,522500000,USD,522500000
Zocdoc,https://www.crunchbase.com/organization/zocdoc,"Health Care, Medical, mHealth, Mobile Apps, Scheduling","New York, New York, United States",Zocdoc is a digital marketplace company that connects healthcare patients and doctors.,"9,798",10,150000000,USD,150000000,375940002,USD,375940002
Propeller Health,https://www.crunchbase.com/organization/propellerhealth,"Health Care, Medical, Medical Device, mHealth","Madison, Wisconsin, United States","Propeller Health is a mobile platform that offers sensors, mobile apps, analytics, and services to support respiratory health management.","9,846",7,,,,69865200,USD,69865200
Ten Percent Happier,https://www.crunchbase.com/organization/change-collective,"Education, Health Care, Internet, mHealth, Wellness","Boston, Massachusetts, United States",Ten Percent Happier is a health and wellness platform that offers a simple approach to meditation.,"9,965",3,3000000,USD,3000000,8100000,USD,8100000
Strados Labs,https://www.crunchbase.com/organization/strados-labs,"Artificial Intelligence, Health Care, Medical, Medical Device, mHealth, PaaS, Wearables","Philadelphia, Pennsylvania, United States",Strados Labs innovates respiratory monitoring using smart biosensors and artificial intelligence.,"10,038",5,990118,USD,990118,7573468,USD,7573468
Clearing,https://www.crunchbase.com/organization/relief-labs,"Consumer, Health Care, mHealth, Wellness","New York, New York, United States",Clearing is a healthcare platform focused on providing opioid-free pain relief.,"10,466",2,20000000,USD,20000000,20000000,USD,20000000
Okadoc,https://www.crunchbase.com/organization/okadoc,"Fitness, Health Care, Information Technology, mHealth, Software, Wellness","Dubai, Dubai, United Arab Emirates",Okadoc is the region’s 1st  instant online appointment booking platform that seamlessly connects healthcare providers with their patients,"10,501",2,10000000,USD,10000000,12300000,USD,12300000
Wellth,https://www.crunchbase.com/organization/wellth,"Health Care, Information Technology, mHealth, Personal Health","Los Angeles, California, United States",Wellth motivates medication adherence using Behavioral Economics,"10,908",8,1500000,USD,1500000,19050000,USD,19050000
iXensor,https://www.crunchbase.com/organization/ixensor,"Biotechnology, Health Care, Health Diagnostics, Home Health Care, Medical Device, mHealth","Taipei, T'ai-pei, Taiwan",The pioneer of mobile health,"11,055",5,,,,21750000,USD,21750000
Bright.md,https://www.crunchbase.com/organization/bright-md,"Artificial Intelligence, Health Care, Information Technology, Medical, mHealth","Portland, Oregon, United States",Bright.md develops an AI-powered care automation platform that transforms direct-to-patient telehealth for healthcare systems.,"11,593",4,16700000,USD,16700000,29200000,USD,29200000
Teladoc Health,https://www.crunchbase.com/organization/teladoc,"Health Care, Hospital, mHealth","Purchase, New York, United States","Teladoc is a global provider of  virtual care, transforming the access, cost, and quality dynamics of health care delivery.","11,631",6,80000000,USD,80000000,172850085,USD,172850085
Second Nature,https://www.crunchbase.com/organization/ourpath,"Fitness, Health Care, Lifestyle, Medical, mHealth, Mobile Apps, Personal Development, Wellness","London, England, United Kingdom",Second Nature is a digital programme that helps people lead healthier lives,"11,867",10,,,,13271745,USD,13271745
Reliance Health,https://www.crunchbase.com/organization/reliancehealth,"Health Care, Hospital, Insurance, InsurTech, mHealth","Lagos, Lagos, Nigeria",Reliance Health uses technology to make quality healthcare more affordable and accessible in emerging markets,"12,100",3,40000000,USD,40000000,48267388,USD,48267388
Pace,https://www.crunchbase.com/organization/pace-groups-inc,"Health Care, mHealth, Social, Wellness","Los Angeles, California, United States","Pace is a fitness and social wellness platform that redefines mental health through groups that are effective, fun, social, and challenging.","12,241",3,13000000,USD,13000000,14900000,USD,14900000
Validic,https://www.crunchbase.com/organization/validic,"Apps, Health Care, Medical Device, mHealth, Wearables","Durham, North Carolina, United States",Validic is a technology platform designed to provide access to digital health data.,"12,259",5,12500000,USD,12500000,18358500,USD,18358500
Dawaai,https://www.crunchbase.com/organization/dawaai,"E-Commerce, Health Care, Internet, mHealth, Pharmaceutical","Karachi, Sindh, Pakistan",Dawaai operates as a digital health platform with an online network of pharmacies and generic medicine.,"12,280",7,8500000,USD,8500000,9500000,USD,9500000
Oliva Therapy,https://www.crunchbase.com/organization/oliva-therapy,"Health Care, mHealth, Personal Health, Therapeutics, Wellness","Barcelona, Catalonia, Spain",Oliva Therapy is an online therapy for busy people.,"12,372",3,4840000,GBP,6391278,8612693,USD,8612693
Headspace,https://www.crunchbase.com/organization/headspace,"Health Care, mHealth, Mobile Apps, Training, Wellness","Santa Monica, California, United States",Headspace is a digital health platform that provides guided meditation sessions and mindfulness training.,"12,577",12,,,,215853477,USD,215853477
CirrusMD,https://www.crunchbase.com/organization/cirrusmd,"Health Care, Hospital, mHealth, Mobile Devices","Denver, Colorado, United States","CirrusMD provides text-first virtual care solutions that deliver simpler access, personal connection and care navigation.","12,595",7,20000000,USD,20000000,47603386,USD,47603386
Kinsa,https://www.crunchbase.com/organization/kinsa-inc,"Apps, Child Care, Hardware, Health Care, mHealth, Software","San Francisco, California, United States",Kinsa is a health technology company that primarily offers a thermometer application.,"12,637",5,,,,29170000,USD,29170000
Healthify,https://www.crunchbase.com/organization/healthify,"Health Care, mHealth, Wellness","New York, New York, United States",SaaS - There's more to health than healthcare.,"12,933",5,16000000,USD,16000000,25520000,USD,25520000
Welltory,https://www.crunchbase.com/organization/welltory,"Apps, Health Care, Health Diagnostics, mHealth, Mobile Apps, Personal Health, Wellness","Redwood City, California, United States","The go-to health app that lets you read your body, track health, and sync gadgets.","13,062",5,1241000,USD,1241000,6275100,USD,6275100
Navvis & Company,https://www.crunchbase.com/organization/navvis-company,"Health Care, Medical, mHealth","Ballwin, Missouri, United States",Navvis & Company is a solutions firm assisting physicians and health networks with health management.,"13,075",4,80000000,USD,80000000,104900000,USD,104900000
